npi,provider_first_name,provider_last_name,credential,specialty,group_practice,street_address,city,state,zip,phone,accepting_new_patients,plan_tiers_accepted,telehealth_available,languages_spoken,hospital_affiliation
1555282394,Rahul,Nelson,NP,Pulmonology,Heartland Medical Associates,3631 Commerce St,Chicago,IL,60601,(553) 640-2816,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",N/A (outpatient only)
1431162800,Robert,Harris,MD,Hematology,SilverShield Medical Group,225 Park Blvd,Aurora,IL,60505,(416) 985-3248,Yes,Gold,No,English,Springfield General Hospital
1634063428,Dorothy,Thomas,MD,Endocrinology,Great Lakes Health System,8296 Commerce St,Joliet,IL,60431,(273) 606-1693,No,"Bronze,Silver,Gold",Yes,English,Prairie Community Hospital
1718216692,Dorothy,Wilson,MD,Physical Therapy,University Health Associates,4843 Oak Ave,Evanston,IL,60201,(221) 532-3815,No,Gold,Yes,English,Springfield General Hospital
1361259074,Dorothy,Scott,MD,Urology,Midwest Health Partners,6584 Lake Shore Dr,Joliet,IL,60431,(426) 541-3754,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",University Medical Center
1308202515,Matthew,Walker,MD,Neurology,Midwest Health Partners,2499 Lake Shore Dr,Rockford,IL,61101,(377) 816-3504,Yes,"Silver,Gold",Yes,English,University Medical Center
1915911873,Fatima,Kim,MD,Emergency Medicine,Independent Practice,5279 Maple Dr,Peoria,IL,61602,(269) 680-8245,Yes,Gold,Yes,"English,Mandarin",University Medical Center
1179661615,Betty,Chen,NP,Internal Medicine,SilverShield Medical Group,6141 Lake Shore Dr,Chicago,IL,60601,(860) 292-9307,No,"Bronze,Silver,Gold",Yes,English,University Medical Center
1799905142,Richard,Clark,MD,Ophthalmology,Prairie Regional Medical,1113 University Ave,Chicago,IL,60601,(551) 931-2381,Yes,"Bronze,Silver,Gold",Yes,"English,French",Lake Shore Medical Center
1571825556,Chen,Lopez,MD,Orthopedics,Independent Practice,6208 Lake Shore Dr,Evanston,IL,60201,(618) 993-6543,Yes,Gold,Yes,"English,Mandarin",Springfield General Hospital
1699108439,Anthony,Young,MD,Occupational Therapy,Prairie Regional Medical,5561 Oak Ave,Decatur,IL,62521,(879) 344-6731,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",N/A (outpatient only)
1190966348,Betty,Perez,MD,Emergency Medicine,Independent Practice,2193 Commerce St,Chicago,IL,60601,(861) 886-7937,Yes,"Bronze,Silver,Gold",No,"English,Mandarin",Midwest Regional Medical Center
1329987621,Margaret,Martinez,MD,Neurology,Prairie Regional Medical,2638 Oak Ave,Aurora,IL,60505,(303) 719-9843,Yes,Gold,Yes,"English,Hindi",Lake Shore Medical Center
1265627642,David,Thomas,MD,Allergy & Immunology,Prairie Regional Medical,7270 Main St,Evanston,IL,60201,(573) 892-4891,No,"Bronze,Silver,Gold",No,"English,Spanish,Portuguese",N/A (outpatient only)
1941599226,Donald,Harris,PA-C,Neurology,Heartland Medical Associates,7784 Park Blvd,Joliet,IL,60431,(894) 784-8218,No,Gold,Yes,"English,Hindi",University Medical Center
1549533634,David,Jackson,MD,Cardiology,Heartland Medical Associates,954 University Ave,Joliet,IL,60431,(767) 305-9452,Yes,Gold,Yes,"English,Spanish,Portuguese",Midwest Regional Medical Center
1392907427,Donald,Hernandez,MD,Plastic Surgery,University Health Associates,1602 Park Blvd,Peoria,IL,61602,(557) 227-7797,Yes,"Bronze,Silver,Gold",No,"English,Spanish",Lake Shore Medical Center
1187623171,Sandra,Harris,MD,Oncology,Midwest Health Partners,5593 Maple Dr,Naperville,IL,60540,(239) 493-8740,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Springfield General Hospital
1185068029,Mary,Thompson,MD,Plastic Surgery,Prairie Regional Medical,9091 Center Rd,Champaign,IL,61820,(633) 313-5720,Yes,Gold,Yes,English,Midwest Regional Medical Center
1550784243,Yuki,Chen,DO,OB/GYN,Community Care Clinic,9876 Commerce St,Springfield,IL,62701,(847) 727-4963,Yes,Gold,Yes,English,University Medical Center
1478833337,Lisa,Wilson,MD,Orthopedics,Midwest Health Partners,8676 Medical Center Dr,Chicago,IL,60601,(738) 757-9312,Yes,"Bronze,Silver,Gold",Yes,English,N/A (outpatient only)
1515410649,Sandra,Thompson,MD,Radiology,Midwest Health Partners,5749 Park Blvd,Chicago,IL,60601,(990) 795-6447,Yes,"Bronze,Silver,Gold",No,"English,Hindi",Prairie Community Hospital
1973498494,Susan,Chen,NP,Emergency Medicine,Prairie Regional Medical,2309 Oak Ave,Peoria,IL,61602,(237) 500-4302,Yes,"Silver,Gold",Yes,"English,Mandarin",Prairie Community Hospital
1653388913,Ashley,Gonzalez,NP,Gastroenterology,SilverShield Medical Group,3231 Lake Shore Dr,Joliet,IL,60431,(999) 248-6438,Yes,"Bronze,Silver,Gold",No,English,Lake Shore Medical Center
1898120571,Donald,King,DO,Orthopedics,Community Care Clinic,8251 Medical Center Dr,Champaign,IL,61820,(473) 284-7955,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Prairie Community Hospital
1444898148,Michael,Garcia,DO,Urgent Care,Heartland Medical Associates,5121 University Ave,Decatur,IL,62521,(934) 636-3730,No,Gold,Yes,English,N/A (outpatient only)
1478557676,Yuki,Nguyen,MD,Emergency Medicine,SilverShield Medical Group,1329 Health Plaza,Joliet,IL,60431,(725) 967-3621,Yes,"Silver,Gold",Yes,English,Midwest Regional Medical Center
1172191273,Lisa,Hall,DO,Endocrinology,SilverShield Medical Group,2613 University Ave,Joliet,IL,60431,(580) 654-2259,Yes,"Bronze,Silver,Gold",No,English,Prairie Community Hospital
1797460535,Nancy,Martin,DO,Family Medicine,Prairie Regional Medical,8276 Commerce St,Evanston,IL,60201,(775) 320-5288,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Prairie Community Hospital
1845156039,Rahul,Jackson,DO,Cardiology,Midwest Health Partners,7506 Maple Dr,Peoria,IL,61602,(289) 898-6236,Yes,"Bronze,Silver,Gold",No,"English,Mandarin",Midwest Regional Medical Center
1864299201,Susan,Hall,PA-C,Neurology,Midwest Health Partners,3392 Maple Dr,Rockford,IL,61101,(705) 226-6912,Yes,"Bronze,Silver,Gold",Yes,"English,Hindi",Springfield General Hospital
1170596494,Betty,Patel,NP,Urology,University Health Associates,6808 Center Rd,Chicago,IL,60601,(328) 524-2215,No,"Bronze,Silver,Gold",No,"English,Spanish",University Medical Center
1786973497,Fatima,Thomas,MD,Pulmonology,SilverShield Medical Group,2134 Commerce St,Naperville,IL,60540,(511) 368-3653,Yes,"Silver,Gold",No,"English,Hindi",Prairie Community Hospital
1184675178,Thomas,Jackson,PA-C,Gastroenterology,Prairie Regional Medical,5061 Center Rd,Champaign,IL,61820,(295) 714-3762,Yes,"Silver,Gold",No,"English,Spanish,Portuguese",University Medical Center
1144232045,Mary,Garcia,MD,Emergency Medicine,Heartland Medical Associates,3553 Center Rd,Evanston,IL,60201,(832) 854-1496,No,"Bronze,Silver,Gold",No,"English,French",Prairie Community Hospital
1618558050,Lisa,Patel,MD,Rheumatology,Midwest Health Partners,1081 Maple Dr,Peoria,IL,61602,(625) 695-8609,Yes,Gold,Yes,"English,Mandarin",N/A (outpatient only)
1442863363,Matthew,Patel,MD,Speech Therapy,Independent Practice,8537 Commerce St,Chicago,IL,60601,(526) 447-8642,Yes,Gold,Yes,"English,Spanish",Midwest Regional Medical Center
1203950725,Patricia,Young,MD,General Surgery,University Health Associates,4167 Maple Dr,Joliet,IL,60431,(791) 938-6123,Yes,"Silver,Gold",Yes,"English,Hindi",Lake Shore Medical Center
1635539154,Betty,Martinez,MD,Pediatrics,University Health Associates,8381 University Ave,Rockford,IL,61101,(420) 797-6781,Yes,"Bronze,Silver,Gold",No,English,University Medical Center
1802506364,Priya,Young,PA-C,Family Medicine,Midwest Health Partners,7160 Maple Dr,Aurora,IL,60505,(944) 574-7606,Yes,"Bronze,Silver,Gold",Yes,English,University Medical Center
1703246271,Richard,Hall,PA-C,Psychiatry,Midwest Health Partners,6429 Commerce St,Peoria,IL,61602,(982) 763-5582,Yes,"Silver,Gold",Yes,English,Prairie Community Hospital
1953514394,Margaret,Perez,DO,Speech Therapy,Prairie Regional Medical,3361 Center Rd,Champaign,IL,61820,(611) 712-1659,Yes,"Bronze,Silver,Gold",Yes,"English,French",Prairie Community Hospital
1963251765,Priya,Lopez,NP,Cardiology,Prairie Regional Medical,5473 Center Rd,Joliet,IL,60431,(366) 602-5902,Yes,"Bronze,Silver,Gold",Yes,"English,French",University Medical Center
1421897671,Priya,Johnson,DO,Oncology,Midwest Health Partners,6924 Center Rd,Aurora,IL,60505,(942) 904-1436,No,Gold,Yes,"English,French",Springfield General Hospital
1726553348,Priya,Anderson,PA-C,Emergency Medicine,University Health Associates,2521 Park Blvd,Springfield,IL,62701,(786) 917-2800,Yes,"Bronze,Silver,Gold",Yes,"English,Mandarin",Lake Shore Medical Center
1262598077,Mark,White,MD,Urology,Community Care Clinic,1120 Maple Dr,Champaign,IL,61820,(412) 774-6325,No,"Bronze,Silver,Gold",Yes,"English,Mandarin",Midwest Regional Medical Center
1593559955,Wei,Lewis,PA-C,Radiology,Heartland Medical Associates,8032 Park Blvd,Rockford,IL,61101,(485) 771-5890,Yes,Gold,No,"English,French",Midwest Regional Medical Center
1841139461,Rahul,Clark,NP,Radiology,Heartland Medical Associates,4815 Oak Ave,Decatur,IL,62521,(892) 756-7220,No,Gold,Yes,"English,Mandarin",Springfield General Hospital
1408840720,Jennifer,Walker,NP,Emergency Medicine,Heartland Medical Associates,7949 Park Blvd,Rockford,IL,61101,(751) 477-5450,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",Springfield General Hospital
1819228743,Chen,Harris,MD,Internal Medicine,Midwest Health Partners,6871 Medical Center Dr,Peoria,IL,61602,(302) 897-3252,Yes,"Bronze,Silver,Gold",Yes,English,N/A (outpatient only)
1610778600,Priya,Jackson,MD,Oncology,Heartland Medical Associates,1069 Oak Ave,Decatur,IL,62521,(437) 747-1611,Yes,"Bronze,Silver,Gold",Yes,English,Lake Shore Medical Center
1946066287,Rahul,Thomas,MD,Vascular Surgery,SilverShield Medical Group,251 Lake Shore Dr,Decatur,IL,62521,(817) 309-6489,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",University Medical Center
1602533479,Nancy,Jackson,DO,Oncology,Prairie Regional Medical,7618 Lake Shore Dr,Naperville,IL,60540,(214) 954-6523,Yes,"Bronze,Silver,Gold",Yes,"English,Spanish",University Medical Center
